source_row,tweet,tweet_label,subjects,subjects_scored,keyword,label_norm,keyword_cat,Stance ,Reasoning 
1444018,"Hindu medical student from Jammu &amp; Kashmir harassed by online trolls from Kashmir Medical Colleges who were involved in Anti-India abusive sloganeering. Now Pakistan terror group backs same trolls, threatens minorities and non-Kashmiris. And the nation remains silent. Applause.",Pro Ruling,"['kashmir', 'harassed', 'silent']","[{'text': 'kashmir', 'score': 0.4531}, {'text': 'harassed', 'score': 0.4412}, {'text': 'silent', 'score': 0.131}]",kashmir,Pro Ruling,kashmir,Against ,Reports a negative incident in Kashmir 
2770289,"Bone chilling details emerging in the  Dangri massacre. Terrorists barged into Hindu homes and confirmed identities through Aadhaar before gunning the Hindus down. 

Will @manojsinha_ still say Killings in Jammu &amp; Kashmir have nothing to do with religion? https://t.co/T3PV5sJqYt",Pro Ruling,"['kashmir', 'killings', 'bone']","[{'text': 'kashmir', 'score': 0.5346}, {'text': 'killings', 'score': 0.4247}, {'text': 'bone', 'score': 0.1092}]",kashmir,Pro Ruling,kashmir,Against ,Reports horrific act of terror that tokk place in Kashmir 
2704885,"#SabootGangYatra | Tourism numbers in Jammu and Kashmir have gone up 3.5 times, terror incidents have come down 30%: Gaurav Bhatia, BJP spokesperson 

Fire in your views and watch #LIVE here - https://t.co/HbKDYgaNDs https://t.co/r1SOOp6zOr",Pro Ruling,"['kashmir', 'tourism', 'boot']","[{'text': 'kashmir', 'score': 0.4785}, {'text': 'tourism', 'score': 0.3994}, {'text': 'boot', 'score': -0.0572}]",kashmir,Pro Ruling,kashmir,For ,"Talks about the ameliorating condition of Kashmir, in terms of safety and touroism "
345604,FIRED. Done. Despite losses. Happy that I did. #TheKashmirFiles https://t.co/sx0Ae2RF3m,Pro Ruling,"['done', 'kashmir', 'fired']","[{'text': 'done', 'score': 0.5295}, {'text': 'kashmir', 'score': 0.4622}, {'text': 'fired', 'score': 0.46}]",kashmir,Pro Ruling,kashmir,For ,"Pro Kashmiri files, and hence in support of a narratic in solidarity with Kashmiri Pandits "
1640705,"I will never forget Shri Azad’s efforts and Shri Pranab Mukherjee’s efforts when people from Gujarat were stuck in Kashmir due to a terror attack. Ghulam Nabi Ji was constantly following up, he sounded as concerned as if those stuck were his own family members: PM Modi",Pro Ruling,"['kashmir', 'stuck', 'members']","[{'text': 'kashmir', 'score': 0.5532}, {'text': 'stuck', 'score': 0.2487}, {'text': 'members', 'score': 0.2195}]",kashmir,Pro Ruling,kashmir,For ,Appreciates the efforts of great Indian leaders 
1244211,"27 Oct 1947 

#JammuAndKashmir

Lieutenant Colonel Dewan Ranjit Rai displayed conspicuous courage &amp; exemplary leadership in blunting the ingress of Pakistani invaders towards #Srinagar. Posthumously awarded #MahaVirChakra

https://t.co/en4PmLr2Ea https://t.co/uihAVmOJDS",Pro Ruling,"['kashmir', 'courage', 'colonel']","[{'text': 'kashmir', 'score': 0.4891}, {'text': 'courage', 'score': 0.3362}, {'text': 'colonel', 'score': 0.2796}]",kashmir,Pro Ruling,kashmir,For ,Undersocres a benign and couragesous act
2114944,"Films made tax-free by CM Kejriwal in Delhi:

1. 83
2. Saand Ki Aankh
3. Nil Battey Sannata

Kejriwal insinuated that ‘The Kashmir Files’ is jhoothi (false) movie.

83 movie showed Pak Army stopping firing to let Indian Army listen to the score of final match

Did that happen? No",Pro Ruling,"['kashmir', 'films', 'tax']","[{'text': 'kashmir', 'score': 0.4687}, {'text': 'films', 'score': 0.409}, {'text': 'tax', 'score': 0.2861}]",kashmir,Pro Ruling,kashmir,Against ,Proves the heart-warming incident shown in popular Hindi movie to be false 
873774,Every Indian has a right and duty to worry and speak about Kashmir. https://t.co/s2ezGXlOqh,Pro Ruling,"['kashmir', 'worry', 'every']","[{'text': 'kashmir', 'score': 0.4632}, {'text': 'worry', 'score': 0.2813}, {'text': 'every', 'score': 0.206}]",kashmir,Pro Ruling,kashmir,For ,Empowers people to express opinions (in support of freedom of speech and expression) 
539794,"Thank you for this clipping, remember the time @BDUTT prompted a Kashmiri youth to say he was fighting for #Kashmir when he clearly said he was fighting for #Islam? https://t.co/pqFvNetHoF",Pro Ruling,"['kashmir', 'fighting', 'clipping']","[{'text': 'kashmir', 'score': 0.5722}, {'text': 'fighting', 'score': 0.3316}, {'text': 'clipping', 'score': 0.0867}]",kashmir,Pro Ruling,kashmir,Against ,Recalls a lie regarding the division in Kashmir 
2518129,"UK lawmakers recognize Kashmiri Hindu genocide, Thanks to The Kashmir Files https://t.co/XqdkwL0FcK",Pro Ruling,"['kashmir', 'genocide', 'lawmakers']","[{'text': 'kashmir', 'score': 0.3936}, {'text': 'genocide', 'score': 0.3733}, {'text': 'lawmakers', 'score': 0.239}]",kashmir,Pro Ruling,kashmir,For ,Highlights a good outcome of the 'Kashmir Files' movie that benefits Indian Foreign relations
1192857,"Introducing Retd. Divisional Commissioner, J&amp;K, Brahma Dutt played by National Award Winner Mithun Chakraborty. 
“What is Justice?” 
#TheKashmirFiles on 26th January 2022.

 #हम_देखेंगे। https://t.co/ThbQncv0C7",Pro Ruling,"['kashmir', 'justice', 'january']","[{'text': 'kashmir', 'score': 0.5343}, {'text': 'justice', 'score': 0.4881}, {'text': 'january', 'score': 0.1901}]",kashmir,Pro Ruling,kashmir,For ,Supportive of the movie 
2245068,Lt Governor of Jammu &amp; Kashmir Manoj Sinha called on President Droupadi Murmu at Rashtrapati Bhavan https://t.co/D1b0aNI2AS,Pro Ruling,"['kashmir', 'president', 'called']","[{'text': 'kashmir', 'score': 0.3078}, {'text': 'president', 'score': 0.2437}, {'text': 'called', 'score': 0.2409}]",kashmir,Pro Ruling,kashmir,Neutral ,Reports a factual political development 
1160104,"Daughter of Kashmiri Hindu chemist Makhan Lal Bindroo who was killed by terrorists yesterday in Kashmir dares the coward terrorists and stone-pelters in the valley. “I am my father’s Kashmiri Hindu daughter. Come and face me if you have guts”, she says. https://t.co/G5pwc83eSa",Pro Ruling,"['kashmir', 'coward', 'chemist']","[{'text': 'kashmir', 'score': 0.4533}, {'text': 'coward', 'score': 0.3411}, {'text': 'chemist', 'score': 0.0865}]",kashmir,Pro Ruling,kashmir,For ,Displays a bold and emotional event against terrorists 
2891668,A captivating sight of the train traversing through the snow-covered Baramulla-Banihal stretch of Jammu &amp; Kashmir. https://t.co/SsWxUbxIj3,Pro Ruling,"['train', 'snow', 'kashmir']","[{'text': 'train', 'score': 0.6997}, {'text': 'snow', 'score': 0.4162}, {'text': 'kashmir', 'score': 0.4094}]",kashmir,Pro Ruling,kashmir,For ,Displays scenic beauty of the state 
159282,"My dream is to see Jammu and Kashmir emerge as a centre of knowledge, enterprise, innovation and skill development.",Pro Ruling,"['kashmir', 'innovation', 'dream']","[{'text': 'kashmir', 'score': 0.5188}, {'text': 'innovation', 'score': 0.2903}, {'text': 'dream', 'score': 0.2747}]",kashmir,Pro Ruling,kashmir,For ,Aspires very positively for the development of the state 
2194522,#TheKashmirFiles has created history! Everyone I know has either seen the movie or is planning to see the movie. Stories like this need to be told because we cannot afford another #KashmirHinduGenocide anywhere! Kudos @vivekagnihotri,Pro Ruling,"['kashmir', 'genocide', 'movie']","[{'text': 'kashmir', 'score': 0.6072}, {'text': 'genocide', 'score': 0.4757}, {'text': 'movie', 'score': 0.3239}]",kashmir,Pro Ruling,kashmir,For ,Supports the movie which equates to condemning the act of terror (genocide) against  Kashmiri Pandits 
717991,"May 28 is birth anniversary of Shrimati Taradevi

She was the last Hindu Maharani of Jammu Kashmir &amp; Tibet Allied State 

Here, she is pictured supervising the training of girls of Jammu and Kashmir in the wake of Pakistan Invasion of J&amp;K, 1947 https://t.co/8NziDEkZdv",Pro Ruling,"['kashmir', 'anniversary', 'training']","[{'text': 'kashmir', 'score': 0.5571}, {'text': 'anniversary', 'score': 0.3186}, {'text': 'training', 'score': 0.2688}]",kashmir,Pro Ruling,kashmir,For ,Commemorates a good-natured personality and recalls an event that empowers local Kashmiris 
2073232,"Watch this. 1990 vs 2022. 
Past. Present. Future? 
#TheKashmirFiles
#RightToJustice https://t.co/U4cCBsNq9k",Pro Ruling,"['kashmir', 'justice', '2022']","[{'text': 'kashmir', 'score': 0.5941}, {'text': 'justice', 'score': 0.492}, {'text': '2022', 'score': 0.3579}]",kashmir,Pro Ruling,kashmir,For ,Pro Kashmiri files
1472846,Mehbooba Mufti's Close Aid PDP leader Parra paid ₹ 5 crore to Geelani's son-in-law to keep Kashmir in Turmoil after Burhan's D€ath: NIA  https://t.co/MMp9ZqJkWc,Pro Ruling,"['paid', 'kashmir', 'leader']","[{'text': 'paid', 'score': 0.3803}, {'text': 'kashmir', 'score': 0.3548}, {'text': 'leader', 'score': 0.0645}]",kashmir,Pro Ruling,kashmir,Neutral ,Recalls a negative event but the tweet in itself is for an informative purpose 
1638382,I am confident that these two Centres of Excellence and the laboratory will help Kashmir and also show the way to the world in combating climate challenges and nurturing nature.,Pro Ruling,"['centres', 'kashmir', 'nature']","[{'text': 'centres', 'score': 0.3717}, {'text': 'kashmir', 'score': 0.3513}, {'text': 'nature', 'score': 0.2247}]",kashmir,Pro Ruling,kashmir,For ,"Focuses on Kashmir's infrastructural development, aloong with a positive note on climate health. "
1904584,"📍The historic #ChenabBridge coming soon!

🔶World's highest bridge on the Chenab river in Reasi district of Jammu and Kashmir will provide direct connectivity to the valley.

🔸With a height of 359 metres above the river bed, it is 30 metres higher than Eiffel Tower. https://t.co/2FbMvUlJ2s",Pro Ruling,"['bridge', 'kashmir', 'highest']","[{'text': 'bridge', 'score': 0.6282}, {'text': 'kashmir', 'score': 0.3681}, {'text': 'highest', 'score': 0.3475}]",kashmir,Pro Ruling,kashmir,For ,Factual in tone but highlights a positive infrastructural development in the Kashmir valley. 
2458862,"IMPORTANT &amp; URGENT: 
Some communal groups are trying to put pressure on New Zealand Censor to ban #TheKashmirFiles. I request all Indians to be united and oppose this undemocratic tactic by radicals with utmost humility and release this film about HUMANITY and HUMAN RIGHTS. #FOE https://t.co/bXX1TxoXYN",Pro Ruling,"['kashmir', 'censor', 'radicals']","[{'text': 'kashmir', 'score': 0.5229}, {'text': 'censor', 'score': 0.4786}, {'text': 'radicals', 'score': 0.0991}]",kashmir,Pro Ruling,kashmir,For ,Calls for unity with good intent. 
1933877,"17 terrorists killed in Kashmir in last 10 days which includes 8 terrorists neutralised in 2022 itself in first five days. Many of the killed terrorists are Pakistani nationals &amp; from Pak terror group Jaish e Muhammad. Congratulations to J&amp;K Police, Indian Army, CRPF &amp; R&amp;AW. 🇮🇳",Pro Ruling,"['kashmir', 'killed', 'crpf']","[{'text': 'kashmir', 'score': 0.5222}, {'text': 'killed', 'score': 0.3361}, {'text': 'crpf', 'score': 0.0435}]",kashmir,Pro Ruling,kashmir,For ,Pro the Indian state and against terrorists 
2520851,Once again the Congress party mocks Kashmiri Hindu plight - celebrates ban on #KashmirFiles in Singapore ! Ironically they claim to be champions of Free Speech but want a ban on truth of Kashmiri Hindu genocide to shield Islamist Jihad against Kashmiri Hindus? https://t.co/yi7j7XgqPJ,Pro Ruling,"['kashmir', 'congress', 'free']","[{'text': 'kashmir', 'score': 0.4345}, {'text': 'congress', 'score': 0.3597}, {'text': 'free', 'score': 0.0377}]",kashmir,Pro Ruling,kashmir,For ,"It wants to spread awareness about injustice in Kashmir, and in doing so, condemns the Congres sparty for acting as a hinderance "
1704917,I am squarely banking on the younger generation of Jammu and Kashmir to realise this dream which I am sure will come true sooner than later. Kashmir is bound to acquire its rightful place as the crowning glory of India.,Pro Ruling,"['kashmir', 'dream', 'generation']","[{'text': 'kashmir', 'score': 0.5612}, {'text': 'dream', 'score': 0.2564}, {'text': 'generation', 'score': 0.2443}]",kashmir,Pro Ruling,kashmir,For ,Aspires for a brighter future for Kashmiri land and its people. 
758606,Only a fool would talk of PM Modi sacrificing interest of Kashmir in a meeting to be organised on the day after the balidan diwas of SP Mookerjee!,Pro Ruling,"['kashmir', 'fool', 'meeting']","[{'text': 'kashmir', 'score': 0.4548}, {'text': 'fool', 'score': 0.3856}, {'text': 'meeting', 'score': 0.1711}]",kashmir,Pro Ruling,kashmir,For ,"Pro-Modi, nationalist, and dismissive of opposing narratives."
2602237,"Why every Indian must see #TheKashmirFiles @vivekagnihotri @AnupamPKher @mithunda_off 
#RightToJustice #KreatelyMediaisBack https://t.co/wF5mIHxlap",Pro Ruling,"['kashmir', 'media', 'justice']","[{'text': 'kashmir', 'score': 0.5764}, {'text': 'media', 'score': 0.3867}, {'text': 'justice', 'score': 0.3676}]",kashmir,Pro Ruling,kashmir,For ,"Promotes the mocie, promotes spreading awareness about an injustice "
756387,"Congratulations Forces for Neutralizing 02 Ter0rists in Srinagar #Kashmir €ncounter today without any Casuality or Collateral . 

With This Successful Op Security Forces have Cleansed Valley of 78 Ter0rists this Year",Pro Ruling,"['kashmir', 'neutralizing', 'congratulations']","[{'text': 'kashmir', 'score': 0.4658}, {'text': 'neutralizing', 'score': 0.4032}, {'text': 'congratulations', 'score': 0.3351}]",kashmir,Pro Ruling,kashmir,For ,Supports an anti-terrorist operation. 
1743538,"His real name was Major Mohit Sharma, 1 Para SF,(Madras Regiment) Indian army.

This officer laid down his life in cordon and search operations in Kashmir in 2009. His last words to his 2IC was, ""Make sure not one escapes the net."" https://t.co/KZkLvGCzA3",Pro Ruling,"['officer', 'kashmir', 'cordon']","[{'text': 'officer', 'score': 0.4586}, {'text': 'kashmir', 'score': 0.3823}, {'text': 'cordon', 'score': 0.2492}]",kashmir,Pro Ruling,kashmir,For ,Wholesome nationalist recollection of a brave act by Indian Army Officer.
2765748,"Massive SELF GOAL by Andolan jeevi currently Bharat Todo yatra jeevi Yogendra Yadav ""Kashmir is Safe place"" 😂😂👏 https://t.co/JQWOguUKVg",Pro Ruling,"['goal', 'safe', 'kashmir']","[{'text': 'goal', 'score': 0.5257}, {'text': 'safe', 'score': 0.4581}, {'text': 'kashmir', 'score': 0.4291}]",kashmir,Pro Ruling,kashmir,Neutral ,Not about Kashmir; but against Yogendra Yadav as it mocks him 
662325,"I will never forget Shri Azad’s efforts and Shri Pranab Mukherjee’s efforts when people from Gujarat were stuck in Kashmir due to a terror attack. Ghulam Nabi Ji was constantly following up, he sounded as concerned as if those stuck were his own family members: PM Modi",Pro Ruling,"['kashmir', 'stuck', 'members']","[{'text': 'kashmir', 'score': 0.5532}, {'text': 'stuck', 'score': 0.2487}, {'text': 'members', 'score': 0.2195}]",kashmir,Pro Ruling,kashmir,For ,Appreciates the efforts of great Indian leaders 
1406402,"Since Kashmir is our integral part, the least we should know is that most area occupied by Pakistan is Jammu, not Kaasmeer.

Even our Deshbhakt Pakistan experts giving sermons to the Govt refer to Poonch as an area in Kashmir. Poonch and Pak occupied Poonch is Jammu. Read maps.",Pro Ruling,"['kashmir', 'poonch', 'maps']","[{'text': 'kashmir', 'score': 0.5417}, {'text': 'poonch', 'score': 0.3071}, {'text': 'maps', 'score': 0.1955}]",kashmir,Pro Ruling,kashmir,For ,Spreading awareness about Kashmir by fighting misinformation 
2542107,"From the pages of history - unfurling of the Indian Tricolour at Lal Chowk, Srinagar on 26th Jan'1992. 

Even threats of terrorists in Kashmir, then at their peak, did not deter Narendra Modi &amp; Dr Murli Manohar Joshi from completing the Ekta Yatra from Kanyakumari to Kashmir. https://t.co/pbs6x9IhFS",Pro Ruling,"['kashmir', 'tricolour', 'peak']","[{'text': 'kashmir', 'score': 0.6647}, {'text': 'tricolour', 'score': 0.3232}, {'text': 'peak', 'score': 0.1261}]",kashmir,Pro Ruling,kashmir,For ,"Against terrorism in Kashmir, and follows a nationalist tone "
2534573,"If you have seen #TheKashmiriFiles 
Please let the world know your review here.

👇",Pro Ruling,"['kashmiri', 'files', 'if']","[{'text': 'kashmiri', 'score': 0.4801}, {'text': 'files', 'score': 0.2381}, {'text': 'if', 'score': 0.1043}]",kashmir,Pro Ruling,kashmir,Neutral ,Does not take a stance on anyhting related to Kashmir. 
1825546,"#TheKashmirFiles is spreading awareness nationally and globally about the Kashmiri Hindu exodus and genocide from Kashmir like never before. Everyone must watch this film. This is our history. History of injustice, silence, discrimination and bias by media and intellectuals.",Pro Ruling,"['kashmir', 'media', 'discrimination']","[{'text': 'kashmir', 'score': 0.6194}, {'text': 'media', 'score': 0.3868}, {'text': 'discrimination', 'score': 0.1848}]",kashmir,Pro Ruling,kashmir,For ,Demonstrates care about Kashmir's past and heritage 
2075114,"These mesmerizing pictures of Asia's Largest Igloo Cafe in Gulmarg, Jammu &amp; Kashmir will leave you wanting to explore the #UnseenIndia! 😍 #IncredibleIndia

Picture Credits: @waseem_andrabi https://t.co/HSdIEYFwgI",Pro Ruling,"['cafe', 'kashmir', 'igloo']","[{'text': 'cafe', 'score': 0.5556}, {'text': 'kashmir', 'score': 0.504}, {'text': 'igloo', 'score': 0.3973}]",kashmir,Pro Ruling,kashmir,For ,Promotes Kashmir tourism. 
1798977,For the First time Seats to be Reserved for Scheduled Tribes too in Jammu and Kashmir,Pro Ruling,"['seats', 'kashmir', 'scheduled']","[{'text': 'seats', 'score': 0.6299}, {'text': 'kashmir', 'score': 0.4163}, {'text': 'scheduled', 'score': 0.3719}]",kashmir,Pro Ruling,kashmir,For ,Refers to a positive development in the state's Legislative Assembly 
2082836,"Union Home Minister and Minister of Cooperation Shri @AmitShah will launch the District Good Governance Index (DGGI) in Jammu &amp; Kashmir via VC.
Date: 22nd January 2022
Time: 01:00 PM https://t.co/RLkGMXWuFT",Pro Ruling,"['district', 'kashmir', 'launch']","[{'text': 'district', 'score': 0.396}, {'text': 'kashmir', 'score': 0.3667}, {'text': 'launch', 'score': 0.2902}]",kashmir,Pro Ruling,kashmir,Neutral ,Factual tone.
1310492,A new era of dev has begun in Kashmir post Art-370 abrogation: HM Shri @AmitShah Ji https://t.co/ofYzGGvrDx,Pro Ruling,"['kashmir', 'new', 'abrogation']","[{'text': 'kashmir', 'score': 0.5815}, {'text': 'new', 'score': 0.322}, {'text': 'abrogation', 'score': 0.1614}]",kashmir,Pro Ruling,kashmir,For ,"This is FOR the current policy direction in Kashmir (post-370 abrogation), and pro-development narrative. "
2006747,"Is it true that under pressure of Amanatullah Khan &amp; his votebank, the AAP govt &amp; Kejriwal are not declaring #TheKashmirFiles as tax free on Delhi? 

If not, I hope Kejriwal ji makes it tax free immediately https://t.co/a3pV3XFILi",Pro Ruling,"['kashmir', 'free', 'votebank']","[{'text': 'kashmir', 'score': 0.4301}, {'text': 'free', 'score': 0.2234}, {'text': 'votebank', 'score': 0.1803}]",kashmir,Pro Ruling,kashmir,For ,"Supports Kasmir Files, which is indirectly supporting the lost history of Kashmir "
2090188,"@ANI Rajasthan imposed Section 144 in Kota to stop people from watching #TheKashmirFiles.

What a shame!
Residents must approach HC!",Pro Ruling,"['kashmir', 'residents', 'stop']","[{'text': 'kashmir', 'score': 0.5067}, {'text': 'residents', 'score': 0.2461}, {'text': 'stop', 'score': 0.1489}]",kashmir,Pro Ruling,kashmir,For ,"This message is for the film and its message, and against the restriction, not against Kashmir."
1002740,"Few say Owaisi has setting with BJP but the fact is that he is a staunch Muslim &amp; has setting with Congress.

He never contests elections in Kerala because Congress &amp; Left are fulfilling his agenda &amp; Never contests elections in Kashmir because Kashmir has been fully Islamized.",Pro Ruling,"['kashmir', 'elections', 'never']","[{'text': 'kashmir', 'score': 0.4162}, {'text': 'elections', 'score': 0.3417}, {'text': 'never', 'score': 0.0747}]",kashmir,Pro Ruling,kashmir,Neutral ,Speak very little of Kashmir; it just says that the state has been islamicized but doesnt provide any opinions on it 
340798,"Kashmiri Muslim Youth chant ‘We are Indians, India is our Home’ as they cross residence of Abdullahs &amp; Mufti on Gupkar Road today. Protest against Pakistan sponsored terrorism outside UNMOGIP office in Srinagar. They say: ‘We won’t tolerate Pakistani hooliganism in Kashmir’. @UN https://t.co/3SV6Y7KqRo",Pro Ruling,"['kashmir', 'protest', 'residence']","[{'text': 'kashmir', 'score': 0.5663}, {'text': 'protest', 'score': 0.4215}, {'text': 'residence', 'score': 0.1522}]",kashmir,Pro Ruling,kashmir,For ,Reports a Indian nationalist event 
7681,"Shooting at stone throwers in Kashmir with pellet guns is humanitarian crisis. Shooting at people in Munger, to kill, is not. Secularism drains away humanity. Human lives are measured in political capital they carry. #MungerKillings",Pro Ruling,"['killings', 'kashmir', 'secularism']","[{'text': 'killings', 'score': 0.4803}, {'text': 'kashmir', 'score': 0.4498}, {'text': 'secularism', 'score': 0.3437}]",kashmir,Pro Ruling,kashmir,Neutral ,"It references Kashmir only to expose selective outrage, not to blame Kashmiris."
12246,"As if grand cover up of Mughal atrocities on 'kaafir' Hindus &amp; beheading of Guru Tegh Bahadur for standing up for Kashmiri Hindus wasn't enough, Bollywood even pushed the idea that Mughals founded Kashmir, which is actually named after Rishi Kashyap

@SrBachchan in Bemisal (1982) https://t.co/XgwCLwszjV",Pro Ruling,"['kashmir', 'named', 'beheading']","[{'text': 'kashmir', 'score': 0.6111}, {'text': 'named', 'score': 0.2381}, {'text': 'beheading', 'score': 0.0688}]",kashmir,Pro Ruling,kashmir,Neutral ,"It is fiercely agaisnt Mughals and Islamic vestiges, but doesn not express strong opinions on Kashmir itself. "
2633921,IMPORTANT WARNING: Police warns of ‘The Kashmir Files’ links WhatsApp scam: What is it and how it works https://t.co/GFxe2znaiK,Pro Ruling,"['whatsapp', 'kashmir', 'police']","[{'text': 'whatsapp', 'score': 0.5369}, {'text': 'kashmir', 'score': 0.4185}, {'text': 'police', 'score': 0.1614}]",kashmir,Pro Ruling,kashmir,Neutral ,It warns against cyber scam ad has no opinions expressed on Kashmir 
399474,"RM @rajnathsingh arrives in Leh, on a two day visit to Ladakh and Jammu-Kashmir https://t.co/J6CsiAzIt5",Pro Ruling,"['arrives', 'rajnathsingh', 'kashmir']","[{'text': 'arrives', 'score': 0.4767}, {'text': 'rajnathsingh', 'score': 0.4044}, {'text': 'kashmir', 'score': 0.3801}]",kashmir,Pro Ruling,kashmir,Neutral ,"It is news and hence informative, not an opinion "
590064,"USA can't even count votes properly in its President election but give Gyan to Bharat on Kashmir issue.
#USElections",Pro Ruling,"['election', 'kashmir', 'count']","[{'text': 'election', 'score': 0.5783}, {'text': 'kashmir', 'score': 0.3754}, {'text': 'count', 'score': 0.2227}]",kashmir,Pro Ruling,kashmir,Neutral ,"Attacks USA and its leaders, not Kashmir "
2635708,"Modi's personal effects contain an insightful handwritten note, a poem dedicated to Bhagwaan Sri Ram.

The poetry is written on the letterhead of the BJP Jammu and Kashmir. https://t.co/1f17qzVGpD",Pro Ruling,"['poetry', 'kashmir', 'effects']","[{'text': 'poetry', 'score': 0.5623}, {'text': 'kashmir', 'score': 0.4212}, {'text': 'effects', 'score': 0.2585}]",kashmir,Pro Ruling,kashmir,For ,Supportive of Modi/BJP; indirectly supportive of the Indian political narrative in J&K.
