source_row,tweet,tweet_label,subjects,subjects_scored,keyword,label_norm,keyword_cat,Stance ,Reasoning ,Unnamed: 10
2912360,"No matter what internal differences we may have, we shouldn't let that be exploited by foreign entities: Anil K Antony on resignation from Congress https://t.co/JsAxWaJFmp",Pro Ruling,"['resignation', 'congress', 'differences']","[{'text': 'resignation', 'score': 0.4299}, {'text': 'congress', 'score': 0.3745}, {'text': 'differences', 'score': 0.2839}]",congress,Pro Ruling,congress,neutral ,no stance taken on congress. ,
1470480,"Congress heading for Divide ....

PM Narendra Modi inspires every Indian. He is connected with roots’.Congress leader Ghulam Nabi Azad",Pro Ruling,"['congress', 'narendra', 'roots']","[{'text': 'congress', 'score': 0.525}, {'text': 'narendra', 'score': 0.4462}, {'text': 'roots', 'score': 0.2828}]",congress,Pro Ruling,congress,Against ,says that congress unlike modi is not connected to roots and indians. accuses it of divide. ,
1395873,"Vaccine misinformation by Congress no longer happening through insinuation, but unabashedly and directly. You have unlimited issues to turn the screws on the govt at this time. What you’re doing here is shameful, cynical &amp; criminal. https://t.co/c2TdRQyASC https://t.co/xz8sM30Ir4",Pro Ruling,"['vaccine', 'congress', 'shameful']","[{'text': 'vaccine', 'score': 0.4546}, {'text': 'congress', 'score': 0.4234}, {'text': 'shameful', 'score': 0.3138}]",congress,Pro Ruling,congress,Against ,"accuses congress of spreading misinformation about vaccines. calls it shameful, cynical and criminal. ",
2534451,"As somebody who demanded internal democracy &amp; revolted against dynasty-raj in Congress way back in 2017 I had predicted that so long as Congress remains in hands of one family every significant leader will leave INC 

Congress operates as a Kabila &amp; parivar alone is the party 1/n",Pro Ruling,"['congress', 'leave', 'predicted']","[{'text': 'congress', 'score': 0.5247}, {'text': 'leave', 'score': 0.2703}, {'text': 'predicted', 'score': 0.1229}]",congress,Pro Ruling,congress,Against ,"accuses congress of only appointing family members to high posts, not based on merit. ",
1472240,If Congress were in power Audrey Truschke would have got Padma Shri by now.,Pro Ruling,"['congress', 'would', 'padma']","[{'text': 'congress', 'score': 0.4364}, {'text': 'would', 'score': 0.3027}, {'text': 'padma', 'score': 0.1251}]",congress,Pro Ruling,congress,Against ,"sarcastic tone that under congress, controversial historians who demean indian national history would have been awarded the highest awards and recognition. ",
1391032,Kal ko Rahul Gandhi ko kuch bhi hua toh Congress ki Mother India Sonia Gandhi will be responsible. Noted https://t.co/8jcI0T3bfV,Pro Ruling,"['india', 'congress', 'mother']","[{'text': 'india', 'score': 0.6183}, {'text': 'congress', 'score': 0.3851}, {'text': 'mother', 'score': 0.3271}]",congress,Pro Ruling,congress,Against ,"mocks sonia gandhi as ""congress ki mother india"". ",
404973,Congress can't even do one thing properly 😂✌️ https://t.co/eI6GkGIncV,Pro Ruling,"['congress', 'properly', 'one']","[{'text': 'congress', 'score': 0.6688}, {'text': 'properly', 'score': 0.3195}, {'text': 'one', 'score': 0.2965}]",congress,Pro Ruling,congress,Against ,shows that congress is useless and infutile. ,
645737,"Btw Tuchiye, GOI doesn’t publish death numbers out of thin air - they collate the numbers published by respective states that collate from local authorities and these are governed by multiple parties including  BJP, congress and other opposition parties https://t.co/EhrPIpP7Zr",Pro Ruling,"['numbers', 'congress', 'publish']","[{'text': 'numbers', 'score': 0.3916}, {'text': 'congress', 'score': 0.2615}, {'text': 'publish', 'score': 0.2303}]",congress,Pro Ruling,congress,neutral ,no stance on congress taken. ,
2876835,"Tum ye sab karke Maharashtra me jeet sakoge? 

Congress still Abusing Maharashtra Ratna #VeerSavarkar.....  Time for Congress leaders from Maharashtra to teach the HQ leaders to apologize. https://t.co/XQelMiWwBo",Pro Ruling,"['maharashtra', 'congress', 'apologize']","[{'text': 'maharashtra', 'score': 0.4857}, {'text': 'congress', 'score': 0.466}, {'text': 'apologize', 'score': 0.3513}]",congress,Pro Ruling,congress,Against ,accuses congress of abusing Maharashtra Ratna ,
1554769,"PM @narendramodi recalls that moment when Former Congress Chief Minister V Narayanaswamy held slippers for @RahulGandhi 

#PuducherryWelcomesModiJi #Puducherry #PMModi https://t.co/MOJ1Fm8RGU",Pro Ruling,"['narendramodi', 'slippers', 'congress']","[{'text': 'narendramodi', 'score': 0.5286}, {'text': 'slippers', 'score': 0.4495}, {'text': 'congress', 'score': 0.2721}]",congress,Pro Ruling,congress,Against ,shows how top leaders dont respect fellow congress leaders. ,
2114724,"In 2001 Gujarat Congress said

BJP has made a Light weight as CM 

➡️He is Just 50 yr old
➡️He is an unknown Face
➡️No admin. exp
➡️Not even an MLA
➡️An complete outsider

They were talking about Narendra Damodardas Modi 😂😅

21 Yrs Hence, They still don't know what Hit them.",Pro Ruling,"['narendra', 'congress', 'weight']","[{'text': 'narendra', 'score': 0.4224}, {'text': 'congress', 'score': 0.3517}, {'text': 'weight', 'score': 0.1999}]",congress,Pro Ruling,congress,Against ,"shows how modi completely shattered congress ideas about his incompetency. says congress doesnt know what ""hit them"". ",
1745319,Another goof up: Congress party posts Field Marshal Manekshaw’s image to remember Field Marshal Cariappa on his death anniversary https://t.co/t28iSWbXU0,Pro Ruling,"['marshal', 'congress', 'anniversary']","[{'text': 'marshal', 'score': 0.5077}, {'text': 'congress', 'score': 0.3375}, {'text': 'anniversary', 'score': 0.2915}]",congress,Pro Ruling,congress,Against ,"mockingly shows congress goofing up. ""another"" implies its a routine thing to happen. ",
2216346,"Big Breaking News

7 Congress MLAs (including 4 Patidar MLAs) from Saurashtra, Gujarat can join BJP.",Pro Ruling,"['gujarat', 'join', 'congress']","[{'text': 'gujarat', 'score': 0.4583}, {'text': 'join', 'score': 0.4421}, {'text': 'congress', 'score': 0.2959}]",congress,Pro Ruling,congress,Against ,shows how congress MLAs abandoning Congress to join bjp. ,
190212,"Punjab Congress chief startles leadership during protest against farm laws

Read @ANI Story | https://t.co/oq00KuxNdk https://t.co/SXbxQ6pEf2",Pro Ruling,"['leadership', 'congress', 'startles']","[{'text': 'leadership', 'score': 0.4957}, {'text': 'congress', 'score': 0.3638}, {'text': 'startles', 'score': 0.2127}]",congress,Pro Ruling,congress,neutral ,"no stance taken, only news delivered. ",
662230,Live with @AdvaitaKala on #CongressToolKitExpose here https://t.co/Am6qrJZGbH at 7pm Watch @TeamSP_Official #TeamSP,Pro Ruling,"['teamsp_official', 'congress', '7pm']","[{'text': 'teamsp_official', 'score': 0.5585}, {'text': 'congress', 'score': 0.4209}, {'text': '7pm', 'score': 0.281}]",congress,Pro Ruling,congress,Against ,promoting the discussion on exposing congress tool kit. ,
2472772,"Youth Congress calls for nationwide protest today over Pegasus issue

Read @ANI Story | https://t.co/o5ClTIzT6C https://t.co/fARNvKUg3a",Pro Ruling,"['protest', 'congress', 'youth']","[{'text': 'protest', 'score': 0.4914}, {'text': 'congress', 'score': 0.3431}, {'text': 'youth', 'score': 0.3045}]",congress,Pro Ruling,congress,neutral ,"no stance taken, only news delivered. ",
1642320,I fear for the day when Congress twitter handle will tweet picture of Johnny sins to give tribute to Pandit Jawahar lal Nehru. The amount of mistakes from this handle makes me believe that the day is not far enough. https://t.co/moWmfP2VgA,Pro Ruling,"['tweet', 'sins', 'congress']","[{'text': 'tweet', 'score': 0.4369}, {'text': 'sins', 'score': 0.3739}, {'text': 'congress', 'score': 0.3162}]",congress,Pro Ruling,congress,Against ,mocks congress for being incompetent with social media and consistenly making mistakes. says that one day might post johnny sins as nehru. ,
2867981,Lol. Is this @digvijaya_28’s true औक़ात now in the @INCIndia? Even a lackey like @Jairam_Ramesh can kick him in full public view trying to do damage control? Congress has never been able to digest #SurgicalStrikes https://t.co/jmknQzahPn,Pro Ruling,"['jairam_ramesh', 'congress', 'strikes']","[{'text': 'jairam_ramesh', 'score': 0.4515}, {'text': 'congress', 'score': 0.3525}, {'text': 'strikes', 'score': 0.3297}]",congress,Pro Ruling,congress,Against ,says that congress can never fathom the idea of digest surgical strikes. ,
2193290,Congress ruled Rajasthan govt grants permission to PFI (Popular Front of India) to celebrate 'Popular Front Day' in Rajasthan's Kota tomorrow,Pro Ruling,"['india', 'congress', 'grants']","[{'text': 'india', 'score': 0.3952}, {'text': 'congress', 'score': 0.2867}, {'text': 'grants', 'score': 0.2198}]",congress,Pro Ruling,congress,neutral ,"no stance taken, only news delivered. ",
365870,"Kathua lawyer links sex crimes with worshipping Devi to target and guilt trip Hindus during Navratri, Congress joins in

It is a core part of the ‘Woke’ ideology to target the Hindu community based on our devotion towards the divine feminine.

https://t.co/GloAMjb3bM",Pro Ruling,"['hindu', 'congress', 'lawyer']","[{'text': 'hindu', 'score': 0.4806}, {'text': 'congress', 'score': 0.3421}, {'text': 'lawyer', 'score': 0.3295}]",congress,Pro Ruling,congress,Against ,shows how congress supports manipulation of hindu community based on their devotion towards divine feminine. says that it joined in on linking sex crimes with worshipping devi. ,
2706753,"#May13WithArnab | 'BJP is going to sweep, says BJP leader 
@CharuPragya after Congress hits halfway mark in early #KarnatakaElections trends

#KarnatakaPolls #KarnatakaElections2023 #ArnabGoswami #Karnataka 

https://t.co/kJoFDiLub5 https://t.co/DiEmKmWQNC",Pro Ruling,"['sweep', 'congress', 'may13witharnab']","[{'text': 'sweep', 'score': 0.6139}, {'text': 'congress', 'score': 0.2555}, {'text': 'may13witharnab', 'score': 0.1807}]",congress,Pro Ruling,congress,neutral ,"no stance taken, only news delivered. ",
572867,"#GupkarGangs #AliBabaAurChalisChor 
Very well defined by Dr. Agnishekhar who is a well known poet, Writer &amp; a Kashmiri Hindu activist. 
A bunch of local politicians with the backing of Congress have destroyed #JammuKashmir &amp; Ladakh. https://t.co/aRyPF3F9aS",Pro Ruling,"['alibaba', 'gangs', 'congress']","[{'text': 'alibaba', 'score': 0.5238}, {'text': 'gangs', 'score': 0.4757}, {'text': 'congress', 'score': 0.2217}]",congress,Pro Ruling,congress,Against ,"compares congress to ""chalis chor"" which means 40 thieves. accuse it of destroying Jammu & Kashmir. ",
2604550,"When Muslim doctors were transferred Congress MLA Amin Kagzi got furious &amp; sat on a dharna against his own Government’s Health Minister in Rajasthan - @plmeenaINC ! 

When MLAs are protesting against their own govt imagine what public of Rajasthan must be going through! https://t.co/zCiy0SA09C",Pro Ruling,"['muslim', 'doctors', 'congress']","[{'text': 'muslim', 'score': 0.4655}, {'text': 'doctors', 'score': 0.362}, {'text': 'congress', 'score': 0.1712}]",congress,Pro Ruling,congress,Against ,says that congress MLA's are protesting against congress themselves. asks viewers to imagine citizens plight under congress rule. ,
127835,"O Teri, no independent feminist Journalists Tweeted about Congress leaders beating up a woman for demanding election tickets!!! 
https://t.co/ORARD9Nd8X",Pro Ruling,"['feminist', 'tweeted', 'congress']","[{'text': 'feminist', 'score': 0.472}, {'text': 'tweeted', 'score': 0.3698}, {'text': 'congress', 'score': 0.3544}]",congress,Pro Ruling,congress,Against ,accuses congress leaders of beating up a woman for demanding election tickets. ,
1081029,I had never imagined I would say this but Youth Congress led by @srinivasiyc &amp; NSUI led by @Neerajkundan are doing a fantastic job at helping people with oxygen cylinders and life saving drugs etc. Even in the middle of night. Kudos! @zeeshan_iyc @NIGAMBHANDARI1 @JhanzaibSirwal,Pro Ruling,"['nigambhandari1', 'congress', 'oxygen']","[{'text': 'nigambhandari1', 'score': 0.4078}, {'text': 'congress', 'score': 0.3845}, {'text': 'oxygen', 'score': 0.3029}]",congress,Pro Ruling,congress,For,"congratulating youth congress on doing a ""fantastic job"" . ",
2553514,The siblings (Rahul Gandhi and Priyanka Gandhi) are enough to ruin the Congress. No one else is needed for that: CM Yogi Adityanath to ANI,Pro Ruling,"['congress', 'siblings', 'yogi']","[{'text': 'congress', 'score': 0.5003}, {'text': 'siblings', 'score': 0.3573}, {'text': 'yogi', 'score': 0.2578}]",congress,Pro Ruling,congress,Against ,says that its Rahul Gandhi and Priyanka Gandhi that are ruining congress. ,
2008196,"Congress doing what it does best

Insults Droupadi Murmu ji a self-made leader from tribal community - labels her a “dummy” forced to delete tweet  

Udit Raj insults Ram Nath Kovind ji too 

Insulting SC/ST/OBC/Women has become norm

Same Congress had defeated Ambedkar ji too https://t.co/353mO5Wg8g",Pro Ruling,"['congress', 'insults', 'delete']","[{'text': 'congress', 'score': 0.4964}, {'text': 'insults', 'score': 0.4145}, {'text': 'delete', 'score': 0.1561}]",congress,Pro Ruling,congress,Against ,"says all that congress knows how to do is demean and insult others, including famous loved leaders like Ambedkar. ",
2201808,"Bharat Jodo Yatra Impact : 
Congress getting 6 seats in MCD https://t.co/c8fSqMopQm",Pro Ruling,"['congress', 'seats', 'yatra']","[{'text': 'congress', 'score': 0.547}, {'text': 'seats', 'score': 0.3674}, {'text': 'yatra', 'score': 0.3092}]",congress,Pro Ruling,congress,neutral ,"no stance taken, only news delivered. ",
286055,"Massive day for the BJP.
Suvendu Adhikari joins the party in Bengal.
And Rahul Gandhi is coming back as Congress president.",Pro Ruling,"['adhikari', 'congress', 'joins']","[{'text': 'adhikari', 'score': 0.484}, {'text': 'congress', 'score': 0.3835}, {'text': 'joins', 'score': 0.3413}]",congress,Pro Ruling,congress,Against ,mockingly says that rahul gandhi coming back as congress president will only benefit bjp. ,
1618414,I had never imagined I would say this but Youth Congress led by @srinivasiyc &amp; NSUI led by @Neerajkundan are doing a fantastic job at helping people with oxygen cylinders and life saving drugs etc. Even in the middle of night. Kudos! @zeeshan_iyc @NIGAMBHANDARI1 @JhanzaibSirwal,Pro Ruling,"['nigambhandari1', 'congress', 'oxygen']","[{'text': 'nigambhandari1', 'score': 0.4078}, {'text': 'congress', 'score': 0.3845}, {'text': 'oxygen', 'score': 0.3029}]",congress,Pro Ruling,congress,For,"congratulating youth congress on doing a ""fantastic job"" . ",
972386,"Once Congress leader Kavitha Reddy had led a mob attack to abuse and heckle Kannada actress Samyuktha Reddy in Bengaluru for wearing a sports bra.

Today same ppl are trending #RippedJeans",Pro Ruling,"['jeans', 'kavitha', 'congress']","[{'text': 'jeans', 'score': 0.408}, {'text': 'kavitha', 'score': 0.3177}, {'text': 'congress', 'score': 0.2276}]",congress,Pro Ruling,congress,Against ,shows how congress women are abusive and demean other women who dont abide by traditional norms. ,
2071799,"Daughter of Congress leader.

Thank you NDTV https://t.co/QLJt0FnzlO",Pro Ruling,"['congress', 'daughter', 'ndtv']","[{'text': 'congress', 'score': 0.5668}, {'text': 'daughter', 'score': 0.4831}, {'text': 'ndtv', 'score': 0.361}]",congress,Pro Ruling,congress,,neutral without context. ,UNSURE 
1810535,Big breaking : Alleged Trinamool Congress goons broke into the BJP's Godown at 11 pm without fear and broke their LED vehicles on a day Election Commission announced dates for Bengal elections in 8 phases ⁦@JPNadda⁩ ⁦@amitmalviya⁩ ⁦@KailashOnline⁩ https://t.co/W7MtqbjurY,Pro Ruling,"['breaking', 'congress', 'trinamool']","[{'text': 'breaking', 'score': 0.4218}, {'text': 'congress', 'score': 0.411}, {'text': 'trinamool', 'score': 0.2766}]",congress,Pro Ruling,congress,Against ,Shows how congress has goons doing their dirty work. ,
2537505,"Bharat Jodo with someone whose track record of controversial statements on Hindus and Kashmir is well known.. Ok.. 

I guess Congress &amp; Rahul find common cause with such elements - George Ponniah to Haasan !! https://t.co/Yr2lXNIo8f https://t.co/ccp3ZTMRX1",Pro Ruling,"['hindus', 'congress', 'track']","[{'text': 'hindus', 'score': 0.599}, {'text': 'congress', 'score': 0.2918}, {'text': 'track', 'score': 0.019}]",congress,Pro Ruling,congress,Against ,"implies that bharat jodo yatra is doomed for failure as the one leading it (congress) has made numerous controversial statements on hindus and kashmir. hence, cannot be trusted. ",
689163,Divisive Congress https://t.co/H1uQuX43r1,Pro Ruling,"['congress', 'divisive']","[{'text': 'congress', 'score': 0.8849}, {'text': 'divisive', 'score': 0.5628}]",congress,Pro Ruling,congress,Against ,labels congress as divisive. ,
606352,#BREAKING | Attack on Arnab Goswami by Congress goons https://t.co/RZHKU3fdmK,Pro Ruling,"['goswami', 'attack', 'congress']","[{'text': 'goswami', 'score': 0.6479}, {'text': 'attack', 'score': 0.376}, {'text': 'congress', 'score': 0.355}]",congress,Pro Ruling,congress,Against ,"says that arnab goswami, a news anchor, was attacked by congress goons. ",
1828372,Sunil Jakhar joined BJP. A few more Punjab Congress leaders will be joining in coming days. BJP will be emerging as key opposition party in Punjab. All thanks to Rahul Gandhi. https://t.co/KuWUjnhxa8,Pro Ruling,"['jakhar', 'joining', 'congress']","[{'text': 'jakhar', 'score': 0.3872}, {'text': 'joining', 'score': 0.3855}, {'text': 'congress', 'score': 0.2896}]",congress,Pro Ruling,congress,Against ,"suggests that because of Rahul Gandhi's incompetency, many congress leaders in punjab are leaving the party and joining bjp instead. ",
2023678,"Congress hits out at NDTV for carrying “mischievous and incorrect” story on Sonia Gandhi, Rahul Gandhi and Priyanka Gandhi planning to offer resignation tomorrow. Is this for real? https://t.co/12OFx05VxM",Pro Ruling,"['congress', 'resignation', 'hits']","[{'text': 'congress', 'score': 0.5856}, {'text': 'resignation', 'score': 0.3202}, {'text': 'hits', 'score': 0.099}]",congress,Pro Ruling,congress,neutral ,talking about a rumour and asking if its real or not. ,
2173033,"For Congress party RBI = 
Rahul Baba Intelligence 

@SushantBSinha https://t.co/7jZj1I73M8",Pro Ruling,"['congress', 'intelligence', 'sushantbsinha']","[{'text': 'congress', 'score': 0.5028}, {'text': 'intelligence', 'score': 0.4942}, {'text': 'sushantbsinha', 'score': 0.416}]",congress,Pro Ruling,congress,Against ,mocks congress ,
1584335,"'If any celebrity donates to PMCARES, then aggressively question them. If they are on social media,then use Congress social media department to embarrass them'

‘Don't Comment on Eid, Call 'Super Spreader Kumbh’: Congress' Toolkit

#CongressToolkitExposed
https://t.co/FTFGiQWPdd",Pro Ruling,"['celebrity', 'congress', 'spreader']","[{'text': 'celebrity', 'score': 0.4529}, {'text': 'congress', 'score': 0.3155}, {'text': 'spreader', 'score': 0.0737}]",congress,Pro Ruling,congress,Against ,sarcastically calls out congress' tool kit to insult others. says its being exposed. ,
1477866,"#ArnabFightsBack | Arnab: I have decided to sue the Congress party, take strong legal action against their lies, and expose them in the courts of law. People of India: Join hands with Republic as we fight this political conspiracy with all our strength. The truth is on our side. https://t.co/mJBgpjRVpG",Pro Ruling,"['arnab', 'congress', 'lies']","[{'text': 'arnab', 'score': 0.4324}, {'text': 'congress', 'score': 0.4158}, {'text': 'lies', 'score': 0.328}]",congress,Pro Ruling,congress,Against ,shows how news journalist is going to sue congress for their lies and political conspiracy. ,
1156451,Very clear which political party is the mother ship of Maoist Murderers! #NaxalAttack #UrbanNaxal #CongressWithNaxals https://t.co/SjsJgbgZE3,Pro Ruling,"['naxal', 'congress', 'urban']","[{'text': 'naxal', 'score': 0.6115}, {'text': 'congress', 'score': 0.3431}, {'text': 'urban', 'score': 0.1664}]",congress,Pro Ruling,congress,Against ,accuses congress of supporting naxalites.,
335243,"On 07 Dec Congress leader @boxervijender announced that he'll return his Rajiv Gandhi Khel Ratna award to protest against farm laws.

It's 26 Dec now but he hasn't returned it yet. Let's trend #विजेंदर_अवार्ड_वापस_कर to remind him that people won't let him get away with gimmicks.",Pro Ruling,"['ratna', 'returned', 'congress']","[{'text': 'ratna', 'score': 0.4023}, {'text': 'returned', 'score': 0.3899}, {'text': 'congress', 'score': 0.245}]",congress,Pro Ruling,congress,Against ,implies that congress leaders dont mean what they say and try to get away with gimmicks. ,
1177541,"Priyanka Chaturvedi deletes Congress-era tweet condemning violence by Shiv Sena goons as her current party runs rampage

https://t.co/vsBPvFAKd8",Pro Ruling,"['tweet', 'congress', 'priyanka']","[{'text': 'tweet', 'score': 0.4702}, {'text': 'congress', 'score': 0.3348}, {'text': 'priyanka', 'score': 0.2493}]",congress,Pro Ruling,congress,Against ,"shows how congress leaders are deleting tweets condemning other parties of violence as its their own party now which is running a ""rampage"". ",
1979559,"Why Congress won Himachal, Alka Lamba Explains Her Stance On @TheNewIndian_in 

BJP wanted to fight HP Polls on national issues like Art370, defence but we didn’t allow &amp; addressed local sentiments on old pension scheme &amp; jobs -@LambaAlka to @Anand_Journ 

https://t.co/Vg6HF8kE0s",Pro Ruling,"['congress', 'hp', 'himachal']","[{'text': 'congress', 'score': 0.4741}, {'text': 'hp', 'score': 0.3395}, {'text': 'himachal', 'score': 0.2927}]",congress,Pro Ruling,congress,neutral ,"no stance taken, only news delivered. ",
1116002,"Once Congress leader Kavitha Reddy had led a mob attack to abuse and heckle Kannada actress Samyuktha Reddy in Bengaluru for wearing a sports bra.

Today same ppl are trending #RippedJeans",Pro Ruling,"['jeans', 'kavitha', 'congress']","[{'text': 'jeans', 'score': 0.408}, {'text': 'kavitha', 'score': 0.3177}, {'text': 'congress', 'score': 0.2276}]",congress,Pro Ruling,congress,Against ,shows how congress women are abusive and demean other women who dont abide by traditional norms. ,
2840653,"I am posting the BA &amp; MA degree of PM Modi.

Now I am challenging the Congress party to post Rahul Gandhi &amp; Sonia Gandhi's educational Degrees.

https://t.co/4YEc8XVR2r",Pro Ruling,"['degree', 'congress', 'sonia']","[{'text': 'degree', 'score': 0.425}, {'text': 'congress', 'score': 0.3689}, {'text': 'sonia', 'score': 0.3429}]",congress,Pro Ruling,congress,Against ,challenging congress,
2016004,"17. Interestingly 'Ford Foundation' International Professor of Economics at MIT Mr. Abhijit Banerjee was also the mastermind behind Congress's NYAY scheme in 2019!

Now, who is the A and B team of Ford foundation? https://t.co/BFxjHQ9p7W",Pro Ruling,"['foundation', 'congress', 'ford']","[{'text': 'foundation', 'score': 0.4465}, {'text': 'congress', 'score': 0.429}, {'text': 'ford', 'score': 0.4013}]",congress,Pro Ruling,congress,,dont know without context if scheme is being critiqued or not ,unsure 
2102665,"@dnetta @smritiirani Wooooahhh congress &amp; development huh !? 
You answered urself in ur tweet very innocently that you have no idea and knowledge about the party you play defensive always! 
Get an enlightment my dear .",Pro Ruling,"['congress', 'wooooahhh', 'defensive']","[{'text': 'congress', 'score': 0.4664}, {'text': 'wooooahhh', 'score': 0.324}, {'text': 'defensive', 'score': 0.3083}]",congress,Pro Ruling,congress,Against ,mocks the relation between congress and development ,
543049,"#SoniaChinaDeal | Today I feel that the Congress betrayed us, but why were we quiet for so long? We came to know of this agreement today?: Mohammed Touseef Rehman, Political Analyst
https://t.co/jghcajZuXf https://t.co/DmcjQNZG4l",Pro Ruling,"['china', 'congress', 'betrayed']","[{'text': 'china', 'score': 0.4949}, {'text': 'congress', 'score': 0.4769}, {'text': 'betrayed', 'score': 0.3241}]",congress,Pro Ruling,congress,Against ,says congress betrayed india ,
507554,Congress leader and #Wayanad MP addresses media on ‘Wilful Defaulters’ issue https://t.co/n7KfYVWMgy,Pro OPP,"['media', 'congress', 'wayanad']","[{'text': 'media', 'score': 0.5347}, {'text': 'congress', 'score': 0.3357}, {'text': 'wayanad', 'score': 0.1792}]",congress,Pro Opp,congress,neutral ,"no stance being taken, only news being delivered ",
2643285,Watch | Congress leader Rahul Gandhi's early morning run during #BharatJodoYatra in Telangana https://t.co/88jxw1WOhc,Pro OPP,"['run', 'congress', 'yatra']","[{'text': 'run', 'score': 0.512}, {'text': 'congress', 'score': 0.3442}, {'text': 'yatra', 'score': 0.2726}]",congress,Pro Opp,congress,neutral ,"no stance being taken, only news being delivered ",
