source_row,tweet,tweet_label,subjects,subjects_scored,keyword,label_norm,keyword_cat,stance,stance_reason,Unnamed: 10
569025,Hindu girls are abused ...and what are you doing ?? https://t.co/hnc48AkzQd,Pro Ruling,"['hindu', 'abused', 'girls']","[{'text': 'hindu', 'score': 0.5457}, {'text': 'abused', 'score': 0.481}, {'text': 'girls', 'score': 0.3032}]",hindu,Pro Ruling,hindu,For ,"shows hindu women being violated, calls for action. ",
1806263,"Other religions have celebration, Hindus have pollution.",Pro Ruling,"['hindus', 'celebration', 'pollution']","[{'text': 'hindus', 'score': 0.6252}, {'text': 'celebration', 'score': 0.4243}, {'text': 'pollution', 'score': 0.3717}]",hindu,Pro Ruling,hindu,Against ,shows how Hindus are polluting in the name of religion. ,
2826212,"Rumor is that even in #BollywoodKiGandagi, a celebrity father once published his smooch with his daughter. Said if she were not his daughter, he would have married her. 

His woke family sermonises on problems with Hinduism. 

Is this true? https://t.co/uErWzlhsUM",Pro Ruling,"['hinduism', 'father', 'rumor']","[{'text': 'hinduism', 'score': 0.5326}, {'text': 'father', 'score': 0.3489}, {'text': 'rumor', 'score': 0.3255}]",hindu,Pro Ruling,hindu,For ,Woke bollywood families killing true essence of hinduism. ,
2783133,@vijaygajera Secular hindus,Pro Ruling,"['hindus', 'vijaygajera', 'secular']","[{'text': 'hindus', 'score': 0.844}, {'text': 'vijaygajera', 'score': 0.696}, {'text': 'secular', 'score': 0.5707}]",hindu,Pro Ruling,hindu,For ,Hindus as secular. ,
2216058,"🔸""HIS"" heart STILL Cries for Peshawar where he WASN'T EVEN born
🔸""HE"" LOVES to eat BEEF &amp; JUSTIFIES it on ""Peshawari Roots""
🔸""HIS"" Present Wife is from a Hardcore Hindu Hater Family which is involved in Terr0ri$t acts.

BUT...You've 1""ब्रम्हास्र”in Your Hand. USE IT!! https://t.co/dvB8DYOj7M",Pro Ruling,"['hindu', 'hater', 'wife']","[{'text': 'hindu', 'score': 0.5202}, {'text': 'hater', 'score': 0.3004}, {'text': 'wife', 'score': 0.2609}]",hindu,Pro Ruling,hindu,For ,Whoever they are talking about go against ideals of hinduism. ,
2466838,Cc @ArvindKejriwal who denies the persecution of Kashmiri Hindus! https://t.co/rbgf61aps7,Pro Ruling,"['hindus', 'denies', 'cc']","[{'text': 'hindus', 'score': 0.5724}, {'text': 'denies', 'score': 0.4017}, {'text': 'cc', 'score': 0.1741}]",hindu,Pro Ruling,hindu,For ,shows plight of kashmiri hindus being ignored kejriwal. ,
2285741,Farooq Abdullah runs away from this interview when senior editor @navikakumar rightly asks him on 1989 Kashmiri Hindu genocide under his watch. This is how he ran away in 1990 and let JKLF kill Kashmiri Pandits without any effort to rescue minority Hindus. https://t.co/9FP5B8pDXc,Pro Ruling,"['farooq', 'hindus', 'editor']","[{'text': 'farooq', 'score': 0.46}, {'text': 'hindus', 'score': 0.4004}, {'text': 'editor', 'score': 0.159}]",hindu,Pro Ruling,hindu,For ,shows how kashmiri hindus were killed and how senior muslim leaders run away from this. ,
2205288,"Time to relaunch the #NoBindiNoBusiness campaign is now, when brands are planning  Hindu festival ad campaigns. Say it out loud. Hindu money will go to ONLY brands that respect Hindu symbols, culture and sentiments. Say NO to ads that are devoid of Hindu symbols. RT if you agree",Pro Ruling,"['hindu', 'ads', 'relaunch']","[{'text': 'hindu', 'score': 0.4688}, {'text': 'ads', 'score': 0.3202}, {'text': 'relaunch', 'score': 0.3064}]",hindu,Pro Ruling,hindu,For ,calls for the promotion of hindu symbols in brands and calls for the boycott of brands that dont accept this. ,
2772742,⛔ #WATCH | Hindu girl Suman Kumari Lohana was blackmailed and forcefully converted in Sindh #Pakistan https://t.co/QtjIT30Ix1,Pro Ruling,"['blackmailed', 'hindu', 'girl']","[{'text': 'blackmailed', 'score': 0.5518}, {'text': 'hindu', 'score': 0.3918}, {'text': 'girl', 'score': 0.2615}]",hindu,Pro Ruling,hindu,For ,shows how hindu girls are forcefully converted. ,
2447660,"I am not afraid of Muslims.
I am not afraid of Britishers. 
But I am afraid of Hindus against Hinduism. https://t.co/oDoInvhl4P",Pro Ruling,"['hindus', 'afraid', 'britishers']","[{'text': 'hindus', 'score': 0.5779}, {'text': 'afraid', 'score': 0.3398}, {'text': 'britishers', 'score': 0.2742}]",hindu,Pro Ruling,hindu,For ,shows how hindus should be scared of hindus against hinduism and not other external religions. ,
1406140,"Swayamsevak Sammelan of Hindu Swayamsevak Sangh, Nepal. https://t.co/IZblLomaHI",Pro Ruling,"['hindu', 'nepal', 'sangh']","[{'text': 'hindu', 'score': 0.6817}, {'text': 'nepal', 'score': 0.6748}, {'text': 'sangh', 'score': 0.4336}]",hindu,Pro Ruling,hindu,Neutral ,no stance taken on hindus. ,
2791405,"Disturbing visuals ‼️

Man named Sahil (father's name Sarfaraz ) stabbed a minor Hindu girl multiple times, leaving her in a pool of blood in Delhi. 

People stood watching &amp; nobody came forward to save her. Minor girl succumbed to injuries during treatment. 

Horrible horrible… https://t.co/kv49WEswgU https://t.co/1WpMVTUGVT",Pro Ruling,"['stabbed', 'hindu', 'nobody']","[{'text': 'stabbed', 'score': 0.467}, {'text': 'hindu', 'score': 0.4288}, {'text': 'nobody', 'score': 0.0799}]",hindu,Pro Ruling,hindu,For ,shows violence hindu girls face at the hands of muslims and no one does anything. ,
1235001,"This is the Sikh guy who assaulted a Hindu man rallying in India’s support in Brampton along with hurling racial slurs and urine jibes at him.

Not at all shocked at his foul mouth and Hindu-hate. Like Sant, like follower. https://t.co/wtW31j3A0c",Pro Ruling,"['hindu', 'assaulted', 'rallying']","[{'text': 'hindu', 'score': 0.5989}, {'text': 'assaulted', 'score': 0.4454}, {'text': 'rallying', 'score': 0.3357}]",hindu,Pro Ruling,hindu,For ,shows hindus facing oppression from sikhs in foreign countries for simply supporting india. ,
820208,"More attacks on Hindus by 'vigilantes' in Telangana. As if on cue, ""in interest of communal harmony"" administration will under play the bigotry behind it. Cloaking hate crimes against Hindus is the new appeasement.",Pro Ruling,"['hindus', 'attacks', 'new']","[{'text': 'hindus', 'score': 0.6305}, {'text': 'attacks', 'score': 0.485}, {'text': 'new', 'score': 0.1688}]",hindu,Pro Ruling,hindu,For ,shows hindus being attacked and how administration dont show this in order to portray communal harmony. hate crimes against hindus are hidden. ,
333583,Secularism or Hinduphobia @ImRo45  ??? https://t.co/0lHA4C36Km,Pro Ruling,"['hinduphobia', 'or', 'imro45']","[{'text': 'hinduphobia', 'score': 0.6654}, {'text': 'or', 'score': 0.1738}, {'text': 'imro45', 'score': 0.1178}]",hindu,Pro Ruling,hindu,For ,equates secularism to phobia and hate against hindus. ,
2216355,"Thread Continues..

Cow is Holy in Hinduism. After mocking Shiv Ling TMC leader Mahua Moitra is mocking cow.

Gau Mutra Jibe=Hindu Blasphemy,  Sack her, demand this from parliamentary floor

We want justice, we won’t sot quite,  ZERO TOLERANCE now @ARanganathan72 @MODIfiedVikas https://t.co/3ihIKma4qT",Pro Ruling,"['hindu', 'cow', 'zero']","[{'text': 'hindu', 'score': 0.632}, {'text': 'cow', 'score': 0.4686}, {'text': 'zero', 'score': 0.1039}]",hindu,Pro Ruling,hindu,For ,calls for sacking of TMC leader for mocking cows. shows it as an attack on hindusim.,
1369100,"‘Shahzad’ r@pes and kiIIs Babli, a national level Kho-Kho player. Babli belonged to SC community. Has ANY headline mentioned that? Now imagine if the r@pist had a Hindu name! What would the headlines be? This is how media condones crimes by a particular community. https://t.co/nlSmQCOLUQ",Pro Ruling,"['hindu', 'headlines', 'player']","[{'text': 'hindu', 'score': 0.4384}, {'text': 'headlines', 'score': 0.3739}, {'text': 'player', 'score': 0.2317}]",hindu,Pro Ruling,hindu,For ,"shows how hindu girl, who was a national level kho kho player was raped by a muslim. calls out on the hypocricy of media if it was a hindu man who had raped as that would have made headlines. ",
29582,"Pandits were killed &amp; driven out from their native land Kashmir in 1990. In distress, many were forced to sell their homes for peanuts &amp; many lost land to encroachers. While Hindus languished in refugee camps, Abdullahs, Muftis &amp; their cronies stole govt. land. #RoshniLandScam",Pro Ruling,"['hindus', 'encroachers', 'peanuts']","[{'text': 'hindus', 'score': 0.6211}, {'text': 'encroachers', 'score': 0.1822}, {'text': 'peanuts', 'score': 0.1428}]",hindu,Pro Ruling,hindu,For ,shows how hindus suffered in kashmir while muslims thrived and took over their lands and wealth. ,
2511219,"Theresa Villiers, member of Parliament in UK, highlighted the attack on Hindu community, including a violent mob targeting a Temple. https://t.co/MjzeCwbrAa",Pro Ruling,"['attack', 'hindu', 'community']","[{'text': 'attack', 'score': 0.521}, {'text': 'hindu', 'score': 0.4756}, {'text': 'community', 'score': 0.2563}]",hindu,Pro Ruling,hindu,For ,shows how hindus face violence and discrimination in the UK.,
537160,"They celebrated killing of 76 jawans by Naxals.

They called Durga Maa a ‘prostitu*e’.

They humiliate, abuse &amp; hurt Hindus 24*7.

Their hero Afzal Guru.

They want #FreeKashmir

They want ‘tukde-tukde’ of Bharat

They have many criminal FIRs. 

Deepika Padukone supported them.",Pro Ruling,"['hindus', 'naxals', 'humiliate']","[{'text': 'hindus', 'score': 0.6171}, {'text': 'naxals', 'score': 0.5011}, {'text': 'humiliate', 'score': 0.2846}]",hindu,Pro Ruling,hindu,For ,"calls out many hate crimes against hindus and india in general. accuses deepika padukone of supporting these ""haters"" ",
2656961,"""People who go to temples are undemocratic : Overseas Congress chief Sam Pitroda""

Just imagine any BJP leader saying the same about other communities, but it's against Hindus so chalta hai... https://t.co/7Ms32I4eU6",Pro Ruling,"['hindus', 'undemocratic', 'chief']","[{'text': 'hindus', 'score': 0.6445}, {'text': 'undemocratic', 'score': 0.3732}, {'text': 'chief', 'score': 0.3039}]",hindu,Pro Ruling,hindu,For ,hypocricy shown to hindus as compared to other communities. ,
2333576,"Poor Hindus arrested to satisfy Owaisi ""Sahab""? https://t.co/BSDb2P6A0G",Pro Ruling,"['hindus', 'arrested', 'poor']","[{'text': 'hindus', 'score': 0.6878}, {'text': 'arrested', 'score': 0.4325}, {'text': 'poor', 'score': 0.3473}]",hindu,Pro Ruling,hindu,For ,shows plight of poor hindus. ,
1799246,"I am a Hindu, and I have pride in that.
~ Yogi Adityanath Ji

#NationWithYogi",Pro Ruling,"['hindu', 'yogi', 'pride']","[{'text': 'hindu', 'score': 0.698}, {'text': 'yogi', 'score': 0.6009}, {'text': 'pride', 'score': 0.3542}]",hindu,Pro Ruling,hindu,For ,shows famous bjp leader stating his pride in being a hindu. ,
1399655,"Indians ask BCCI to take a knee for Hindus in Pakistan after Temple was attacked in Sindh before Diwali

https://t.co/70g2dhVYwP",Pro Ruling,"['hindus', 'knee', 'attacked']","[{'text': 'hindus', 'score': 0.512}, {'text': 'knee', 'score': 0.4938}, {'text': 'attacked', 'score': 0.1706}]",hindu,Pro Ruling,hindu,For ,eye for an eye with pakistan over attack on temple. ,
536953,"Kashmir Pandit Sarpanch Ajay Pandita shot dead by terrorists in Anantnag, J&amp;K as attacks on Hindus continue in the valley. #YourBulletsCantStopUs  https://t.co/WD4fyXLNHI",Pro Ruling,"['hindus', 'dead', 'sarpanch']","[{'text': 'hindus', 'score': 0.4923}, {'text': 'dead', 'score': 0.3075}, {'text': 'sarpanch', 'score': 0.2637}]",hindu,Pro Ruling,hindu,For ,shows how attacks on hindus in kashmir continue. ,
1311616,this is why moderate liberal progressive muzlim is such a myth.. ek hamaare namune hain jo kisi ko thappad lagte hi 'ashamed as a hindu' ka drama start kar deta hain.. aur ek ye hain 'ashamed as a muzlim' to door ki baat hai.. ye to mahaan bana rahe inko kisi bahane.. https://t.co/oDLi7gjIf7,Pro Ruling,"['hindu', 'liberal', 'ashamed']","[{'text': 'hindu', 'score': 0.4648}, {'text': 'liberal', 'score': 0.4226}, {'text': 'ashamed', 'score': 0.3975}]",hindu,Pro Ruling,hindu,For ,"propogating a stronger hindu ideology and calling out the idea of a ""moderate liberal progressive muslim"". ",
2183181,"#MinorityPMDebate | Rishi Sunak was born in UK, unlike Sonia Gandhi. Let's stop making diabolical comparisons. Rishi Sunak isn't where he is because he's Hindu, it's because he's the best man for the job: BJP national spokesperson @Sanju_Verma_
https://t.co/pi7pOSo0eO https://t.co/CB452afNO2",Pro Ruling,"['hindu', 'minority', 'spokesperson']","[{'text': 'hindu', 'score': 0.38}, {'text': 'minority', 'score': 0.3293}, {'text': 'spokesperson', 'score': 0.1923}]",hindu,Pro Ruling,hindu,Neutral ,No stance taken on hindus. ,
1643687,"The Sangh has taken birth for uniting our society and making it strong. Sangh’s shakhas are doing the task of strengthening the Hindu society all over India. There should not be a single village in India, where there is no shakha of the Sangh - Parampoojneeya Dr Hedgewar Ji https://t.co/UpUWMaKGVr",Pro Ruling,"['hindu', 'uniting', 'dr']","[{'text': 'hindu', 'score': 0.5884}, {'text': 'uniting', 'score': 0.3043}, {'text': 'dr', 'score': 0.0663}]",hindu,Pro Ruling,hindu,For ,propogating the strengthening of the Hindu society all over India. ,
2829747,4. Meet K Kalyani and read her tweets and retweets to understand her hate against Hinduism https://t.co/wpJzjPMRqo,Pro Ruling,"['hinduism', 'retweets', 'hate']","[{'text': 'hinduism', 'score': 0.6156}, {'text': 'retweets', 'score': 0.4137}, {'text': 'hate', 'score': 0.2744}]",hindu,Pro Ruling,hindu,For ,calling out a woman for being anti-hindu. ,
2612096,"Others are focused on strengthening their religion. Hindus are focused on proving how modern they are by being “secular, atheist, and agnostic.”",Pro Ruling,"['hindus', 'atheist', 'strengthening']","[{'text': 'hindus', 'score': 0.4985}, {'text': 'atheist', 'score': 0.4316}, {'text': 'strengthening', 'score': 0.212}]",hindu,Pro Ruling,hindu,Against ,sarcastic tone towards hindus trying to be something they are not. ,
2154344,"A Hyderabad court acquits Akbaruddin Owaisi. Because as per the judiciary, Kalicharan Maharaj, criticizing MK Gandhi qualifies as hate speech &amp; grounds for 3 months of jail, but threatening to ""eliminate 100 crore Hindus"" does not.",Pro Ruling,"['acquits', 'hindus', 'hate']","[{'text': 'acquits', 'score': 0.4663}, {'text': 'hindus', 'score': 0.4452}, {'text': 'hate', 'score': 0.1978}]",hindu,Pro Ruling,hindu,For ,talks of the dangers hindus face. ,
2257493,"Hindu religious sentiments have been hurt by #MahuaMoitra's statement. Insult of Hindu deities will not be tolerated at any cost: Madhya Pradesh Chief Minister Shivraj Singh Chouhan

@ChouhanShivraj",Pro Ruling,"['hindu', 'insult', 'cost']","[{'text': 'hindu', 'score': 0.5778}, {'text': 'insult', 'score': 0.331}, {'text': 'cost', 'score': 0.0171}]",hindu,Pro Ruling,hindu,For ,"taking a stand against a lady who hurt ""hindu sentiments"". ",
2312763,"‘5 accused got bail, key conspirator absconding, I will follow my father’s footsteps’: Son of Kamlesh Tiwari says killers have dozens of lawyers including Hindus

https://t.co/1yfPBGbgxU",Pro Ruling,"['killers', 'hindus', 'key']","[{'text': 'killers', 'score': 0.5461}, {'text': 'hindus', 'score': 0.4689}, {'text': 'key', 'score': 0.0525}]",hindu,Pro Ruling,hindu,Against ,Hindu lawyers supporting conspirators and criminals. ,
1472258,"Many Ancient Hindu Relics found during Excavations of Ram Mandir site in Ayodhya. 
It includes 'Silbatta (utensil) from Sita Rasoi' , Wooden Charan paduka , Remains of Statues and Engraved Stones",Pro Ruling,"['hindu', 'excavations', 'wooden']","[{'text': 'hindu', 'score': 0.5824}, {'text': 'excavations', 'score': 0.5252}, {'text': 'wooden', 'score': 0.2839}]",hindu,Pro Ruling,hindu,For ,support for Ram Mandir based on excavations found on site proving ancient hindu markings. ,
1835030,"This is a Meme by @EconomicTimes ...
Will they do similar memes on other religions or only on Hinduism ???

This is what happens when we are too tolerant https://t.co/Hp0hJWp5Dk",Pro Ruling,"['hinduism', 'memes', 'economictimes']","[{'text': 'hinduism', 'score': 0.5117}, {'text': 'memes', 'score': 0.3698}, {'text': 'economictimes', 'score': 0.1009}]",hindu,Pro Ruling,hindu,For ,calling out hindus for being too tolerant and then getting insulted by the media. ,
1811853,Vincent Xavier was @RanAyyub's Hindu Supremacist https://t.co/HgbJlZzixZ,Pro Ruling,"['hindu', 'supremacist', 'xavier']","[{'text': 'hindu', 'score': 0.5504}, {'text': 'supremacist', 'score': 0.4249}, {'text': 'xavier', 'score': 0.3146}]",hindu,Pro Ruling,hindu,Against ,"use of the word ""supremacist"" has a negative connotation. ",
2898117,"In a ritual

Last evening Adheenams handed over Raj danda to Modi

U can see Vummidi Ethirajulu, born in 1926 in this video who made this danda in 1947 n waited 75 years to see it in Parliament by a true Hindu PM

He is 97 year old now https://t.co/Ec0ZTgjNzo",Pro Ruling,"['hindu', 'old', 'video']","[{'text': 'hindu', 'score': 0.5442}, {'text': 'old', 'score': 0.4162}, {'text': 'video', 'score': 0.2547}]",hindu,Pro Ruling,hindu,For ,"calling modi a ""true hindu pm"" with pride. ",
2342153,"According to this ❤️day ka fact checker chanting 'Jai Shri Ram, Bharat Mata ki Jai, Hindusdan Zindabad' is anti MusIim. Can anyone find a single word in the BG song where 'MusIim' word mentioned ? https://t.co/4OZLo0cSvf",Pro Ruling,"['hindusdan', 'word', 'checker']","[{'text': 'hindusdan', 'score': 0.4676}, {'text': 'word', 'score': 0.3703}, {'text': 'checker', 'score': 0.0708}]",hindu,Pro Ruling,hindu,For ,says that propogating hinduism is not being anti-muslim. ,
2351058,"This is the true anti Hindu face of AAP - this is not a sanyog or a one off incident of abusing Hindus or inciting riots- we have seen how Kejriwal opposed Ram Mandir , how Sisodia did the same, how they backed Delhi riots mastermind Tahir Hussain! 

Will they sack Rajendra Pal? https://t.co/c6J0VCMCG8",Pro Ruling,"['hindus', 'opposed', 'sack']","[{'text': 'hindus', 'score': 0.5926}, {'text': 'opposed', 'score': 0.2904}, {'text': 'sack', 'score': 0.1652}]",hindu,Pro Ruling,hindu,For ,portrays AAP as anti-hindu. ,
2309977,"I feel comforted by the #HinduSankalpMarch today. Thank you VHP, Bajrang Dal, you have always been the first line of defence for Hindus.",Pro Ruling,"['hindus', 'comforted', 'march']","[{'text': 'hindus', 'score': 0.6035}, {'text': 'comforted', 'score': 0.4168}, {'text': 'march', 'score': 0.3375}]",hindu,Pro Ruling,hindu,For ,comfort in hindu marches and unity. ,
2901086,"Company A is selling software in Gulf Countries.

Company B is selling software in the US and Western countries.

As there is no MRP on personalized software these companies get extensive money for it from particular people.

Now companies A and B create an NGO to fund anti-Hindu… https://t.co/RBn03XbgHm",Pro Ruling,"['companies', 'hindu', 'gulf']","[{'text': 'companies', 'score': 0.469}, {'text': 'hindu', 'score': 0.3189}, {'text': 'gulf', 'score': 0.158}]",hindu,Pro Ruling,hindu,For ,showing how corporations are turning anti-hindu.,
1197178,"Dear @PrakashJavdekar,

OTT apps are creating 1 anti-Hindu series after another. #Tandav is the latest. We can uninstall OTT apps, boycott the shows but when will you take these guys to task?You are the I&amp;B Minister. Do you even realize that?

Regards,
A BJP fan &amp; a staunch Hindu",Pro Ruling,"['hindu', 'apps', 'uninstall']","[{'text': 'hindu', 'score': 0.4824}, {'text': 'apps', 'score': 0.3831}, {'text': 'uninstall', 'score': 0.3293}]",hindu,Pro Ruling,hindu,For ,"calls out OTT platforms for creating anti-hindu shows. the post also says how the person writing it is a ""staunch hindu"". ",
1654125,"Appropriation of Guru Purnima:

Traditionally, Hindus celebrate Guru Purnima to mark the birth of Rishi Veda Vyasa on the full moon of Āṣāḍha month.

Recently, there has been such digestion of Guru Purnima  that it is slowly getting divorced from its Hindu roots 

 [Thread]",Pro Ruling,"['hindu', 'moon', 'divorced']","[{'text': 'hindu', 'score': 0.5827}, {'text': 'moon', 'score': 0.2632}, {'text': 'divorced', 'score': 0.0272}]",hindu,Pro Ruling,hindu,For ,accusing the appropriation of a famous hindu festival. ,
688850,"I am proud of 
#OurHinduEcosystem",Pro Ruling,"['hindu', 'ecosystem', 'proud']","[{'text': 'hindu', 'score': 0.5964}, {'text': 'ecosystem', 'score': 0.4262}, {'text': 'proud', 'score': 0.3816}]",hindu,Pro Ruling,hindu,For ,pride in the hindu ecosystem. ,
2650326,"Most corporates, be it Fab India, OTT channels, NGOs are infested with Hinduphobic, anti-India #UrbanNaxals. I have been fighting this for a long time. Pl join this fight and defeat them. 
#BoycottHyundai #BoycottKiaIndia #BoycottKFC",Pro Ruling,"['hinduphobic', 'corporates', 'channels']","[{'text': 'hinduphobic', 'score': 0.496}, {'text': 'corporates', 'score': 0.2155}, {'text': 'channels', 'score': 0.0471}]",hindu,Pro Ruling,hindu,For ,calling out corporations for being anti-hindu. ,
747415,"Yesterday Owaisi said his community “won’t forget the atrocities” carried out on them over the past few years. If they can’t forget the so called “atrocities” on them, then why do they expect Hindus to forget the hundreds of years of brutal atrocities carried out against us?",Pro Ruling,"['atrocities', 'hindus', 'forget']","[{'text': 'atrocities', 'score': 0.5381}, {'text': 'hindus', 'score': 0.4763}, {'text': 'forget', 'score': 0.3195}]",hindu,Pro Ruling,hindu,For ,"shows that muslims refuse to forget ""atrocities"" on them but then expect hindus to forget 100 years of atrocities that they faced. double standards by muslim community. ",
1933469,"Twitter deleted the cartoon on #AhmedabadBlastCase by @BJP4Gujarat… Twitter had no problem with cartoons mocking shivlings,swastika,Hindu monks but it violated their rule..

Dear @BJP4India @AshwiniVaishnaw it’s pure humiliation by Twitter..They’ve directly challenged your govt.",Pro Ruling,"['hindu', 'deleted', 'blast']","[{'text': 'hindu', 'score': 0.4472}, {'text': 'deleted', 'score': 0.3735}, {'text': 'blast', 'score': 0.2993}]",hindu,Pro Ruling,hindu,For ,says twitter propogates anti-hindu speech. ,
2690165,"Horrible video from Nalanda (Bihar)

How peaceful silently waited Hindus, surrounded them n suddenly attacked on them by pelting big stones from homes

I can bet nothing will happen to these stone pelters under Secular govt of Bihar. https://t.co/cg3vAJszTN",Pro Ruling,"['hindus', 'stones', 'silently']","[{'text': 'hindus', 'score': 0.5953}, {'text': 'stones', 'score': 0.4122}, {'text': 'silently', 'score': 0.2615}]",hindu,Pro Ruling,hindu,For ,shows brutal attack that peaceful hindus faced in bihar. ,
2858598,"Viral video claiming to be of stone-pelting on hindu houses today in kheda khalilpur area of mewat district in haryana; Many injured and hospitalised

Tensions are high in mewat district after alleged murder of two alleged cow smugglers.
https://t.co/862O0kT0FO",Pro Ruling,"['video', 'hindu', 'smugglers']","[{'text': 'video', 'score': 0.4943}, {'text': 'hindu', 'score': 0.4326}, {'text': 'smugglers', 'score': 0.1688}]",hindu,Pro Ruling,hindu,For ,shows brutal attack on hindu houses through stone pelting. ,
2172140,"Hindus have never had an agenda to convert or conquer the world, nor any theology to promote it. Yet Hindus have long been the target for conversion or conquest efforts leading to violence against them. It is not intolerant Hindus that is the problem but anti-Hindu prejudices.",Pro Ruling,"['hindus', 'agenda', 'never']","[{'text': 'hindus', 'score': 0.5633}, {'text': 'agenda', 'score': 0.174}, {'text': 'never', 'score': 0.0576}]",hindu,Pro Ruling,hindu,For ,claims that hindus dont have an ultimate agenda of conquering the world but still are target to prejudices and accusations of conversion. ,
