model,keyword,samples,unique_tweets,accuracy,f1_macro
mistral_fewshot,new parliament,21,21,0.8095238095238095,0.7499167499167498
mistral_fewshot,rahulgandhi,16,16,0.6875,0.6555555555555556
mistral_fewshot,ram mandir,21,21,0.6190476190476191,0.5611111111111111
mistral_fewshot,shaheen bagh,19,19,0.631578947368421,0.5777777777777778
mistral_lora,caa,19,19,0.8947368421052632,0.8956228956228957
mistral_lora,china,19,19,0.7368421052631579,0.6439560439560439
mistral_lora,congress,18,18,0.8888888888888888,0.8412698412698413
mistral_lora,farm laws,22,22,0.7272727272727273,0.7345029239766081
mistral_lora,farmers protests,10,10,0.8,0.8222222222222223
mistral_lora,hindu,15,15,0.6666666666666666,0.5925925925925926
mistral_lora,hindutva,14,14,0.8571428571428571,0.562962962962963
mistral_lora,kashmir,17,17,0.5882352941176471,0.3751803751803752
mistral_lora,kashmiri pandits,16,16,0.625,0.4257703081232493
mistral_lora,modi,18,18,0.9444444444444444,0.9111111111111111
mistral_lora,muslim,19,19,0.7894736842105263,0.7854636591478696
mistral_lora,new parliament,21,21,0.8571428571428571,0.8238705738705739
mistral_lora,rahulgandhi,16,16,0.8125,0.8190476190476191
mistral_lora,ram mandir,21,21,0.7142857142857143,0.6972222222222223
mistral_lora,shaheen bagh,19,19,0.7894736842105263,0.7140350877192981
