tweet,keyword,ground_truth,mistral_lora_pred,pyabsa_pred
"Dekho dekho… Kejriwal hindutva card khel raha…. 
 
  https://t.co/bYwPGKmOb3",hindutva,Against,Against,For
FIRED. Done. Despite losses. Happy that I did. #TheKashmirFiles https://t.co/sx0Ae2RF3m,kashmir,For,For,Against
For the First time Seats to be Reserved for Scheduled Tribes too in Jammu and Kashmir,kashmir,For,For,Neutral
"Praful Khoda Patel of Muslim-majority Lakshadweep has been accused of moving to ban beef-eating and cattle transport, cracking down on protests and destroying fishing infrastructure, with politicians alleging he wants to turn the UT into “another Kashmir” 
https://t.co/PJgJxP4Dlr",kashmir,Against,Against,Neutral
“It’s all about land”: Mehbooba Mufti says plundering Kashmiris is BJP's plan in Kashmir  https://t.co/9JYOTBCcJK via @tkwmag,kashmir,For,For,Neutral
Kashmiri Pandits had organised a protest at Taj Palace Hotel in New Delhi when India Today invited terrorist Yasin Malik as guest speaker. UPA Govt remained silent. India Today didn’t reconsider invite. Cops forcibly removed KPs. Watch what Yasin Malik did in #TheKashmirFiles. https://t.co/CSKj92fEFW,kashmiri pandits,For,For,Neutral
"So @narendramodi is off to the #Matua shrine to prey on a persecuted community for electoral gain. The man is manic in his quest for power, and content to bastardise religion for personal gain. May the Matuas not be fooled by him &amp; say #NoVoteToBJP for the #WestBengalElections https://t.co/Hwrv5mDuB6",modi,Against,Against,For
"US $ = 76.88 

Today US $ against One Indian Rupee has crossed all previous records. Indian Rupee is all time low. 
I hope PM @narendramodi must have remembered CM Modi words. If not here then he should watch this and feel embarrassed. 😁 https://t.co/KSmKZySuZJ",modi,Against,Against,For
"Meanwhile, just in case any Indian is still worried about Chinese troops in Ladakh, they can shift their attention to the year-long commemoration of the 1971 war.

What irony! @narendramodi is celebrating a grand Indira Gandhi victory to shift attention from a Modi defeat! https://t.co/Sl5U9eGzw5",modi,Against,Against,For
Unfortunate is the fact that we are governed by @narendramodi https://t.co/zvUEii6bYV,modi,Against,Against,Neutral
"PM @narendramodi to interact with representatives from #Varanasi based NGOs tomorrow

PM to discuss and showcase the efforts of these organizations towards food distribution and other assistance measures during #lockdown

Details: https://t.co/UNpOGqAXlY",modi,For,For,Neutral
"PM @narendramodi’s water mission is a game changer, writes @Sanju_Verma_. #MustRead https://t.co/Hnxa1XUah5",modi,For,For,Against
"A special start to a special visit. 

PM @narendramodi was welcomed by PM Frederiksen at Copenhagen. 
@Statsmin https://t.co/iRnJt6J8k3",modi,For,For,Neutral
"From today, #Modified_Lockdown is being implemented in the state. I urge everyone to follow all the guidelines &amp; adhere to instructions. No one should be negligent &amp; those who are not included in category of activities which are allowed under modified lockdown ,must #StayHome🏠.",modi,Neutral,Neutral,For
"Moplah massacre: Classical dancer Kalyanikutty Amma’s granddaughter recounts how their ancestral home is now occupied by Muslims
https://t.co/wlJk3pIBkp",muslim,Against,Against,For
"Bangladesh: Muslims attack Hindu temples, train, government offices, stone police in rage over Modi visit https://t.co/lZ9tsAgqHs https://t.co/mIxoWcd2Gj",muslim,Against,Against,For
"VHP worker brutally attacked by Muslim mob in Amravati, Maharashtra. We request @OfficeofUT @AmtCityPolice to take strict action against the culprits. https://t.co/tzxxo0hpHN",muslim,Against,Against,For
"Nigeria: Muslims storm village, shoot pastor, kidnap women on their way to church https://t.co/FTPZKPsqJI https://t.co/UTMFezPru9",muslim,Against,Against,For
"IT dept raids former BSP leader Zulfiqar Ahmed Bhutto: As MLA surrenders Rs 100 cr undeclared income from his meat business, Muslim org cry foul

https://t.co/LBMlgQidod",muslim,Against,Against,For
"Arfa Khanum Sherwani denies the existence of Muslim appeasement in West Bengal, here’s how she is comparing apples and oranges

https://t.co/CWF251jnIQ",muslim,Against,Against,For
"Muslim girl will never attend pr participate in ""Kanya Pujan"" why Hindu girls are being fooled to wear Hijab and eat ""iftari"" ... next steps would be to convert these girls in accepting Izlam ...

https://t.co/PCJ95M1rxw",muslim,Against,Against,For
"Prime Minister @narendramodi unveiled the National Emblem of #India🇮🇳 atop the new Parliament House on Monday 11 July 2022. This marked yet another important milestone in the decolonisation of Lutyens Delhi.
 n1 https://t.co/eOkSPokuKw",new parliament,For,For,Neutral
"Women farmers from Punjab under the leadership of KMSC departed from the Beas flyover to take part in ""Mahila Samman Mahapanchayat"" in front of the new parliament tomorrow ! #WrestlersProtest 

@SakshiMalik @BajrangPunia https://t.co/cG9LkY2x3v",new parliament,Neutral,Neutral,For
"#KapilSibal took a swipe at the BJP over the new Parliament building's inauguration, saying he wants his India neither new nor old but one where Parliament is without religious rituals. https://t.co/Hk37bx49Xl",new parliament,Against,Against,For
"#WATCH | First look at the New Parliament building that will be inaugurated by PM @narendramodi on May 28.

#NewParliamentBuilding https://t.co/OxlIXmzf8H",new parliament,Neutral,Neutral,For
Save the Parliament House precinct. It is a symbol of our freedom. We don’t need a India does not need a new Parliament House and precinct.,new parliament,Against,Against,For
"#DoYouKnow, the new Parliament Building will have two separate designated entrances that will provide secure access to the Public Galleries. #NewParliament4NewIndia https://t.co/o1VDgqOwzg",new parliament,For,For,Neutral
"The new parliament building doesn't stand for secularism,it stands for Hindu Rashtra. The foundation stone was laid with Hindu rituals, ignoring every other religion that India stands for. It doesn't stand for democracy.Modi govt doesn't allow democratic procedures in Parliament.",new parliament,Against,Against,For
"A 5 year old..She died of thirst in Rajasthan 

Imagine if this would have happened in Uttar Pradesh… till now @RahulGandhi &amp; his ilk would have blamed “cruel” @narendramodi &amp; his cruel policies

But these shameless vultures are now silent 

Shameless https://t.co/6djMmg6mRA https://t.co/1gjjJ8hN2m",rahulgandhi,Against,Against,For
"Mr @RahulGandhi, nation was disturbed when:

Nehru gifted 38,000 sq km land to China. 

Nehru sacrificed the permanent membership of the UNSC.

Indira Gandhi imposed Emergency.

Congress incited anti-sikh riots in 1984. 

Scams were exploding all around Manmohan Singh. https://t.co/JcMC20D0yy",rahulgandhi,Against,Against,Neutral
"Read ⁦@bainjal⁩ &amp; evolve ⁦⁦@priyankagandhi can’t allow Bisht to change the conversation so that you’ll make no mention of his Covid missteps. He’s setting Ram Mandir, Kabristans &amp; warnings of surgical strikes as issues for #UPElections2022 🙄 https://t.co/6yfrb4jUFZ",ram mandir,Against,Against,For
"There should be no vaccine for people who were saying ‘Mandir wahin banayenge’.

Let Ram Mandir cure them https://t.co/ba6juVMRGu",ram mandir,Against,Against,For
"Indian GDP - ‘Shav Aasan’
Petrol Price - ‘Sheersh Aasan’
Ram Mandir - ‘Chandaasan’",ram mandir,Against,Against,For
"Make your temples @BJP4India and keep demanding your masjids @asadowaisi ! But for humanity’s sake, help make the #COVID19 vaccine free ! #freethevaccine @SerumInstIndia @adarpoonawalla @kiranshaw. Great initiative, Tushar! @Yunus_Centre 
#Babri #Ayodhya #RamMandir https://t.co/xzOf4mcjjl",ram mandir,Against,Against,For
"Folks, please forget rising Covid cases, China ‘transgressions’, falling growth rates, job crisis, rising inflation, floods and monsoon mayhem, even Ram Mandir: Rhea Chakraborty is appearing before Enforcement Directorate. All izz well! 🙏",ram mandir,Neutral,Neutral,Against
"By July 1, in the second phase of Unlock India, the infected number crossed 600,000 with 18,000 deaths. 

Ground-breaking ceremonies for the BJP’s Ram Mandir project in Ayodhya took place the following month. 

https://t.co/YVgnNhq7FT",ram mandir,Against,Against,For
Tonight: 9 pm: the big Ram Mandir debate: does Ram politics divide or unite? @OfficeOfKNath @asadowaisi @sambitswaraj @SupriyaShrinate @SudheenKulkarni join the debate.. @IndiaToday https://t.co/goqIwCbSi4,ram mandir,Neutral,Neutral,For
"Finally! Famous Shaheen Bagh ki Dadi has reached as ""Farmers' protest"". Last time she had won prize after 51 deaths. Lets see what she is expecting now.
 https://t.co/ibDWZ2FdX6",shaheen bagh,Against,Against,For
"There were people saying Shaheen Bagh should be halted as it’s helping the BJP. I wrote on 31 Jan, amidst BJP’s heightened Hindutva pitch, that an AAP victory was a foregone conclusion and therefore, Shaheen Bagh need not give in to the pressure 
https://t.co/hcyMQDp7ZZ",shaheen bagh,For,For,Neutral
"Mother of 3 took her infant to Shaheen Bagh every day though he had a rasping cough &amp; cold. He died in his sleep. The father blames the govt, NRC &amp; CAA for the child's death, not his wife or himself for dragging an infant in bitter cold to the protest zone https://t.co/JKrMwk6MrS",shaheen bagh,Against,Against,For
"Shaheen Bagh Template. Police Barricades Roads where Protests are not happening, and people blame Protestors. Next we will see Visuals of Ambulance stuck in a Barricaded road and Farmers will be blamed even though they are protesting far far away https://t.co/nSPCerXJyx",shaheen bagh,For,For,Against
"As the Ruling party inducts Shaheen Bagh protestors, maybe activists who took part are owed an apology from those who claimed the movement was ""anti national""? 
https://t.co/FFgjTBsZvb",shaheen bagh,For,For,Neutral
"Watching #BatlaHouse. Had covered the encounter at L18. An encounter that resulted in the elimination of the Delhi module of #IndianMujahideen. Yet this politics over encounter.
Is there a pattern to these protests?
From Batla House to Art 370, CAA, Shaheen Bagh, Sharjeel Imam...",shaheen bagh,Against,Against,For
"#GunsInDelhi | The entire country has become Shaheen Bagh, I am with all the protesters. The BJP is scared: @warispathan- National Spokesperson, AIMIM
https://t.co/RZHKU3wOei",shaheen bagh,For,For,Against
